Country,ISO3,Minimum Wage Monthly After Tax Low,Minimum Wage Monthly After Tax High,Minimum Cost of Living Monthly Low,Minimum Cost of Living Monthly High,Currency,Source Notes
Australia,AUS,,,,,,
Austria,AUT,,,,,,
Belgium,BEL,,,,,,
Canada,CAN,2100,2600,2500,3000,CAD,User-provided calibration range (2026-03-17)
Chile,CHL,,,,,,
Colombia,COL,,,,,,
Costa Rica,CRI,,,,,,
Czechia,CZE,,,,,,
Denmark,DNK,,,,,,
Estonia,EST,,,,,,
Finland,FIN,,,,,,
France,FRA,,,,,,
Germany,DEU,,,,,,
Greece,GRC,,,,,,
Hungary,HUN,,,,,,
Iceland,ISL,,,,,,
Ireland,IRL,,,,,,
Israel,ISR,,,,,,
Italy,ITA,,,,,,
Japan,JPN,,,,,,
"Korea, Rep.",KOR,,,,,,
Latvia,LVA,,,,,,
Lithuania,LTU,,,,,,
Luxembourg,LUX,,,,,,
Mexico,MEX,,,,,,
Netherlands,NLD,,,,,,
New Zealand,NZL,,,,,,
Norway,NOR,,,,,,
Poland,POL,,,,,,
Portugal,PRT,,,,,,
Slovak Republic,SVK,,,,,,
Slovenia,SVN,,,,,,
Spain,ESP,,,,,,
Sweden,SWE,,,,,,
Switzerland,CHE,,,,,,
Turkiye,TUR,,,,,,
United Kingdom,GBR,,,,,,
United States,USA,,,,,,
